from,to
E/RES/2021/19,A/RES/69/283
E/RES/2021/19,A/RES/71/256
E/RES/2021/19,A/RES/75/227
E/RES/2021/19,E/RES/2020/16
E/RES/2021/19,A/RES/59/209
E/RES/2021/19,A/RES/67/221
E/RES/2021/19,A/RES/74/270
E/RES/2021/19,A/RES/74/274
E/RES/2021/19,A/75/534
E/RES/2021/19,A/76/71
E/RES/2021/19,A/74/843
E/RES/2021/19,A/CONF.219/7
E/RES/2021/19,A/RES/70/1
E/RES/2021/19,A/RES/69/313
E/RES/2021/2 B,A/76/68
E/RES/2021/2 B,E/2021/8
E/RES/2021/2 B,A/RES/1514
E/RES/2021/2 B,A/RES/1541
E/RES/2021/2 B,E/RES/2021/2
E/RES/2021/2 B,A/RES/1514
E/RES/2021/2 B,A/RES/1514
E/RES/2021/2 B,A/RES/75/122
E/RES/2021/2 B,A/RES/74/270
E/RES/2021/2 B,A/RES/74/274
E/RES/2021/2 B,A/RES/74/306
E/RES/2021/2 B,A/RES/74/307
E/RES/2021/2 B,A/RES/75/156
E/RES/2021/2 B,A/RES/75/157
E/RES/2021/2 B,A/RES/1514
E/RES/2021/2 B,A/RES/1514
E/RES/2021/2 B,A/RES/1514
E/RES/2021/2 B,E/1998/41
E/RES/2021/2,A/75/73
E/RES/2021/2,E/2020/52/Rev.1
E/RES/2021/2,A/RES/1514
E/RES/2021/2,A/RES/1541
E/RES/2021/2,E/RES/2019/27
E/RES/2021/2,A/RES/1514
E/RES/2021/2,A/RES/1514
E/RES/2021/2,A/RES/74/113
E/RES/2021/2,A/RES/74/270
E/RES/2021/2,A/RES/74/274
E/RES/2021/2,A/RES/1514
E/RES/2021/2,A/RES/1514
E/RES/2021/2,A/RES/1514
E/RES/2021/2,E/1998/41
E/RES/2021/20,e/res/155 
E/RES/2021/20,a/res/415 
E/RES/2021/20,A/RES/46/152
E/RES/2021/20,A/RES/57/270 B
E/RES/2021/20,A/CONF.234/16
E/RES/2021/20,A/RES/70/174
E/RES/2021/20,A/RES/70/1
E/RES/2021/20,A/RES/70/175
E/RES/2021/20,A/RES/65/229
E/RES/2021/20,A/RES/S-23/2
E/RES/2021/20,A/RES/S-23/3
E/RES/2021/20,A/RES/40/33
E/RES/2021/20,A/RES/67/187
E/RES/2021/20,A/RES/60/288
E/RES/2021/20,A/RES/69/196
E/RES/2021/21,A/CONF.234/16
E/RES/2021/21,A/RES/70/175
E/RES/2021/21,A/RES/65/229
E/RES/2021/21,A/RES/45/110
E/RES/2021/22,A/RES/217
E/RES/2021/22,A/RES/45/112
E/RES/2021/22,A/RES/65/228
E/RES/2021/22,A/RES/69/194
E/RES/2021/22,A/RES/40/33
E/RES/2021/22,A/RES/70/175
E/RES/2021/22,A/RES/74/16
E/RES/2021/22,A/RES/74/170
E/RES/2021/22,A/RES/75/18
E/RES/2021/22,A/RES/70/1
E/RES/2021/22,A/CONF.234/16
E/RES/2021/22,A/75/155/Rev.1
E/RES/2021/22,A/61/373
E/RES/2021/22,A/CONF.234/14
E/RES/2021/22,A/RES/75/18
E/RES/2021/23,A/RES/217
E/RES/2021/23,A/RES/75/196
E/RES/2021/23,A/CONF.234/16
E/RES/2021/23,A/RES/70/1
E/RES/2021/23,A/RES/65/229
E/RES/2021/23,A/RES/70/175
E/RES/2021/23,A/RES/45/110
E/RES/2021/23,A/RES/45/113
E/RES/2021/24,A/RES/67/189
E/RES/2021/24,A/RES/68/193
E/RES/2021/24,A/RES/69/197
E/RES/2021/24,A/RES/70/178
E/RES/2021/24,A/RES/71/209
E/RES/2021/24,A/RES/72/196
E/RES/2021/24,A/RES/73/186
E/RES/2021/24,A/RES/74/177
E/RES/2021/24,A/RES/75/196
E/RES/2021/24,A/RES/69/314
E/RES/2021/24,A/RES/70/301
E/RES/2021/24,A/RES/71/326
E/RES/2021/24,A/RES/73/343
E/RES/2021/24,A/RES/46/152
E/RES/2021/24,E/2007/30/Rev.1
E/RES/2021/24,E/2014/30
E/RES/2021/24,E/2019/30
E/RES/2021/24,A/69/25
E/RES/2021/24,A/71/25
E/RES/2021/24,A/CONF.234/16
E/RES/2021/24,A/RES/70/1
E/RES/2021/24,CTOC/COP/2020/10
E/RES/2021/24,CAC/COSP/2019/17
E/RES/2021/25,A/RES/70/1
E/RES/2021/25,A/RES/64/293
E/RES/2021/25,A/RES/64/293
E/RES/2021/25,A/RES/68/192
E/RES/2021/25,A/RES/72/1
E/RES/2021/25,A/RES/68/192
E/RES/2021/25,A/RES/73/327
E/RES/2021/25,A/RES/64/293
E/RES/2021/26,E/2021/64
E/RES/2021/26,E/2021/67
E/RES/2021/26,A/RES/75/284
E/RES/2021/26,A/RES/70/1
E/RES/2021/26,A/RES/70/266
E/RES/2021/26,A/RES/75/233
E/RES/2021/26,A/RES/75/233
E/RES/2021/27,E/RES/2013/12
E/RES/2021/27,E/RES/2014/10
E/RES/2021/27,E/RES/2015/8
E/RES/2021/27,E/RES/2016/5
E/RES/2021/27,E/RES/2017/8
E/RES/2021/27,E/RES/2018/13
E/RES/2021/27,E/RES/2019/9
E/RES/2021/27,E/RES/2020/22
E/RES/2021/27,A/RES/66/2
E/RES/2021/27,A/RES/68/300
E/RES/2021/27,A/RES/73/2
E/RES/2021/27,A/RES/70/1
E/RES/2021/27,A/RES/69/313
E/RES/2021/27,A/RES/74/2
E/RES/2021/27,E/2021/48/Rev.1
E/RES/2021/27,E/RES/2013/12
E/RES/2021/27,A/RES/70/1
E/RES/2021/27,E/RES/2013/12
E/RES/2021/28,A/C.2/59/3
E/RES/2021/28,A/60/687
E/RES/2021/28,E/RES/2020/12
E/RES/2021/28,A/RES/70/1
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/RES/217
E/RES/2021/28,A/RES/75/202
E/RES/2021/28,A/76/64
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/RES/70/1
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/RES/75/202
E/RES/2021/28,A/RES/60/252
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/RES/2200
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/C.2/59/3
E/RES/2021/28,A/60/687
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,E/CN.16/2018/CRP.3
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/RES/70/125
E/RES/2021/28,A/67/65
E/RES/2021/28,A/67/65/Corr.1
E/RES/2021/28,A/RES/69/313
E/RES/2021/28,A/RES/70/125
E/RES/2021/29,A/RES/70/1
E/RES/2021/29,A/RES/60/1
E/RES/2021/29,A/RES/70/125
E/RES/2021/29,FCCC/CP/2015/10/Add.1
E/RES/2021/29,A/RES/74/229
E/RES/2021/29,A/RES/70/132
E/RES/2021/29,A/RES/70/213
E/RES/2021/29,A/RES/70/219
E/RES/2021/29,E/2017/27
E/RES/2021/29,A/73/798
E/RES/2021/29,A/RES/70/1
E/RES/2021/29,A/RES/69/313
E/RES/2021/29,A/RES/72/228
E/RES/2021/29,A/RES/72/242
E/RES/2021/29,A/RES/73/17
E/RES/2021/29,A/RES/66/288
E/RES/2021/29,A/RES/74/306
E/RES/2021/29,A/RES/72/242
E/RES/2021/29,A/RES/73/17
E/RES/2021/29,A/RES/73/17
E/RES/2021/29,A/RES/69/313
E/RES/2021/3,E/2020/12
E/RES/2021/3,E/ESCWA/S-6/14
E/RES/2021/3,E/ESCWA/S-6/16
E/RES/2021/30,E/RES/2012/6
E/RES/2021/30,A/RES/69/313
E/RES/2021/30,A/RES/70/1
E/RES/2021/31,A/RES/70/1
E/RES/2021/31,A/CONF.216/13
E/RES/2021/4,A/RES/74/88
E/RES/2021/4,A/RES/74/243
E/RES/2021/4,E/RES/2019/29
E/RES/2021/4,S/RES/242
E/RES/2021/4,S/RES/252
E/RES/2021/4,S/RES/252
E/RES/2021/4,S/RES/252
E/RES/2021/4,S/RES/338
E/RES/2021/4,S/RES/465
E/RES/2021/4,S/RES/497
E/RES/2021/4,S/RES/2334
E/RES/2021/4,A/RES/ES-10/13
E/RES/2021/4,A/RES/ES-10/14
E/RES/2021/4,A/RES/ES-10/15
E/RES/2021/4,A/RES/ES-10/17
E/RES/2021/4,A/75/86
E/RES/2021/4,A/RES/2200
E/RES/2021/4,A/RES/181
E/RES/2021/4,A/RES/67/19
E/RES/2021/4,S/RES/242
E/RES/2021/4,S/RES/338
E/RES/2021/4,S/RES/425
E/RES/2021/4,S/RES/1397
E/RES/2021/4,S/RES/1515
E/RES/2021/4,S/RES/1544
E/RES/2021/4,S/RES/1850
E/RES/2021/4,S/RES/2334
E/RES/2021/4,A/56/1026
E/RES/2021/4,S/2003/529
E/RES/2021/4,A/HRC/22/63
E/RES/2021/4,A/ES-10/273
E/RES/2021/4,A/ES-10/273/Corr.1
E/RES/2021/4,A/RES/ES-10/15
E/RES/2021/4,S/RES/1860
E/RES/2021/4,S/RES/1860
E/RES/2021/4,A/49/180
E/RES/2021/4,S/RES/2334
E/RES/2021/4,S/RES/904
E/RES/2021/4,A/RES/ES-10/15
E/RES/2021/4,S/RES/242
E/RES/2021/4,S/RES/338
E/RES/2021/4,S/RES/425
E/RES/2021/4,S/RES/1397
E/RES/2021/4,S/RES/1515
E/RES/2021/4,S/RES/1515
E/RES/2021/4,S/RES/1515
E/RES/2021/4,S/RES/1544
E/RES/2021/4,S/RES/1850
E/RES/2021/4,S/RES/2334
E/RES/2021/5,E/CN.6/2019/6
E/RES/2021/5,S/RES/1325
E/RES/2021/5,A/RES/48/104
E/RES/2021/5,A/RES/S-23/2
E/RES/2021/5,A/RES/S-23/3
E/RES/2021/5,E/2015/27
E/RES/2021/5,A/RES/71/243
E/RES/2021/5,S/RES/904
E/RES/2021/5,S/RES/1325
E/RES/2021/5,S/RES/1325
E/RES/2021/5,A/RES/70/1
E/RES/2021/5,A/RES/194
E/RES/2021/5,A/56/1026
E/RES/2021/5,S/2003/529
E/RES/2021/6,E/RES/2020/14
E/RES/2021/6,E/RES/2015/33
E/RES/2021/6,E/RES/2015/33
E/RES/2021/7,A/52/3/REV.1
E/RES/2021/7,E/RES/2012/24
E/RES/2021/7,E/RES/2013/16
E/RES/2021/7,E/RES/2014/2
E/RES/2021/7,E/RES/2015/12
E/RES/2021/7,E/RES/2016/2
E/RES/2021/7,E/RES/2017/9
E/RES/2021/7,E/RES/2018/7
E/RES/2021/7,E/RES/2019/2
E/RES/2021/7,E/RES/2020/9
E/RES/2021/7,A/RES/55/2
E/RES/2021/7,A/RES/60/1
E/RES/2021/7,A/RES/65/1
E/RES/2021/7,A/RES/66/288
E/RES/2021/7,A/RES/70/1
E/RES/2021/7,A/RES/69/283
E/RES/2021/7,A/RES/69/313
E/RES/2021/7,FCCC/CP/2015/10/Add.1
E/RES/2021/7,A/RES/S-30/1
E/RES/2021/7,A/RES/71/256
E/RES/2021/7,A/RES/S-23/2
E/RES/2021/7,A/RES/S-23/3
E/RES/2021/7,S/RES/1325
E/RES/2021/7,E/2020/27
E/RES/2021/7,A/RES/75/233
E/RES/2021/7,A/RES/64/289
E/RES/2021/7,E/2021/52
E/RES/2021/7,A/RES/70/1
E/RES/2021/7,A/RES/64/289
E/RES/2021/7,A/RES/64/289
E/RES/2021/7,A/RES/75/233
E/RES/2021/7,A/RES/75/233
E/RES/2021/8,E/RES/2012/7
E/RES/2021/8,E/RES/2014/3
E/RES/2021/8,E/RES/2016/6
E/RES/2021/8,E/RES/2018/3
E/RES/2021/8,E/RES/2019/4
E/RES/2021/8,A/RES/50/161
E/RES/2021/8,A/RES/S-24/2
E/RES/2021/8,A/RES/70/1
E/RES/2021/8,A/RES/68/1
E/RES/2021/8,A/RES/61/16
E/RES/2021/8,A/RES/72/305
E/RES/2021/8,A/RES/75/151
E/RES/2021/8,A/RES/50/81
E/RES/2021/8,A/RES/62/126
E/RES/2021/8,A/RES/68/3
E/RES/2021/8,A/RES/70/1
E/RES/2021/8,A/RES/72/305
E/RES/2021/8,A/RES/70/299
E/RES/2021/9,A/RES/S-24/2
E/RES/2021/9,A/RES/70/1
E/RES/2021/9,A/RES/69/313
E/RES/2021/9,A/RES/57/2
E/RES/2021/9,A/RES/60/1
E/RES/2021/9,A/RES/63/1
E/RES/2021/9,A/57/304
E/RES/2021/9,A/RES/70/1
E/RES/2021/9,A/RES/69/313
E/RES/2021/9,A/RES/71/254
E/RES/2021/9,A/RES/74/2
E/RES/2021/9,A/RES/63/239
E/RES/2021/9,A/RES/69/313
E/RES/2021/9,E/CN.5/2021/2
E/RES/2021/9,A/RES/70/266
E/RES/2021/9,A/RES/72/233
E/RES/2021/9,A/RES/74/301
E/RES/2022/1,A/RES/61/16
E/RES/2022/1,A/RES/68/1
E/RES/2022/1,A/RES/72/305
E/RES/2022/1,A/RES/75/290a
E/RES/2022/1,A/RES/75/290a
E/RES/2022/1,A/RES/75/290a
E/RES/2022/1,A/RES/69/313
E/RES/2022/1,A/RES/70/1
E/RES/2022/1,E/FFDF/2021/3
E/RES/2022/10,A/RES/46/182
E/RES/2022/10,A/RES/69/283
E/RES/2022/10,FCCC/CP/2015/10/Add.1
E/RES/2022/10,A/RES/70/1
E/RES/2022/10,A/RES/70/1
E/RES/2022/10,A/RES/69/313
E/RES/2022/10,A/RES/71/1
E/RES/2022/10,A/73/12
E/RES/2022/10,A/73/12
E/RES/2022/10,A/RES/73/195
E/RES/2022/10,A/77/72
E/RES/2022/10,E/2022/50
E/RES/2022/10,A/RES/76/204
E/RES/2022/10,A/RES/71/256
E/RES/2022/10,A/RES/46/182
E/RES/2022/10,A/RES/58/114
E/RES/2022/10,A/57/465
E/RES/2022/10,E/CN.4/1998/53/Add.2
E/RES/2022/11,E/2019/39
E/RES/2022/11,A/RES/70/1
E/RES/2022/11,A/62/708
E/RES/2022/12,A/RES/415
E/RES/2022/12,A/RES/46/152
E/RES/2022/12,A/RES/57/270b
E/RES/2022/12,A/RES/76/181
E/RES/2022/12,E/CN.15/2022/11
E/RES/2022/12,A/RES/76/181
E/RES/2022/13,A/CONF.234/16
E/RES/2022/13,A/RES/76/181
E/RES/2022/13,A/CONF.234/16
E/RES/2022/13,A/RES/76/182
E/RES/2022/13,A/RES/70/175
E/RES/2022/13,A/RES/65/229
E/RES/2022/13,A/RES/45/110
E/RES/2022/13,A/RES/76/182
E/RES/2022/14,A/RES/76/181
E/RES/2022/14,A/RES/46/152
E/RES/2022/14,A/RES/69/194
E/RES/2022/14,A/RES/74/174
E/RES/2022/14,A/RES/74/174
E/RES/2022/14,E/2017/30
E/RES/2022/14,A/RES/72/195
E/RES/2022/14,A/RES/72/195
E/RES/2022/14,A/RES/72/195
E/RES/2022/14,A/RES/73/148
E/RES/2022/14,A/RES/73/148
E/RES/2022/14,A/RES/73/148
E/RES/2022/14,A/RES/73/154
E/RES/2022/14,A/RES/73/154
E/RES/2022/14,A/RES/73/154
E/RES/2022/14,E/2007/30/Rev.1
E/RES/2022/15,A/C.2/59/3
E/RES/2022/15,A/60/687
E/RES/2022/15,E/RES/2021/28
E/RES/2022/15,A/RES/70/1
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/RES/217
E/RES/2022/15,A/RES/76/189
E/RES/2022/15,A/74/821
E/RES/2022/15,A/75/982
E/RES/2022/15,A/RES/76/6
E/RES/2022/15,A/77/62
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/RES/70/1
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/RES/76/189
E/RES/2022/15,A/RES/60/252
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/RES/2200
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/C.2/59/3
E/RES/2022/15,A/60/687
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/RES/70/125
E/RES/2022/15,A/67/65
E/RES/2022/15,A/67/65/Corr.1
E/RES/2022/15,A/RES/69/313
E/RES/2022/15,A/RES/70/125
E/RES/2022/16,A/RES/70/1
E/RES/2022/16,A/RES/60/1
E/RES/2022/16,A/RES/70/125
E/RES/2022/16,FCCC/CP/2015/10/Add.1
E/RES/2022/16,A/RES/76/205
E/RES/2022/16,A/RES/74/229
E/RES/2022/16,A/RES/76/213
E/RES/2022/16,A/RES/70/132
E/RES/2022/16,A/RES/70/213
E/RES/2022/16,A/RES/70/219
E/RES/2022/16,E/2017/27
E/RES/2022/16,A/73/798
E/RES/2022/16,A/RES/70/1
E/RES/2022/16,A/RES/69/313
E/RES/2022/16,A/RES/72/228
E/RES/2022/16,A/RES/72/242
E/RES/2022/16,A/RES/73/17
E/RES/2022/16,A/RES/75/316
E/RES/2022/16,A/RES/66/288
E/RES/2022/16,A/RES/74/306
E/RES/2022/16,A/RES/72/242
E/RES/2022/16,A/RES/73/17
E/RES/2022/16,A/RES/75/316
E/RES/2022/16,A/RES/73/17
E/RES/2022/16,A/RES/75/316
E/RES/2022/16,A/RES/69/313
E/RES/2022/17,E/RES/2015/33
E/RES/2022/17,E/RES/2017/4
E/RES/2022/17,E/RES/2017/4
E/RES/2022/17,E/RES/2017/4
E/RES/2022/17,E/RES/2020/14
E/RES/2022/17,E/RES/2020/14
E/RES/2022/17,E/RES/2020/14
E/RES/2022/17,E/RES/2021/6
E/RES/2022/17,E/RES/2021/6
E/RES/2022/17,E/RES/2021/6
E/RES/2022/17,A/RES/71/285
E/RES/2022/17,A/RES/70/1
E/RES/2022/17,E/RES/2017/4
E/RES/2022/17,E/2018/42
E/RES/2022/17,E/RES/2020/14
E/RES/2022/17,E/CN.18/2022/4
E/RES/2022/17,E/RES/2015/33
E/RES/2022/17,E/RES/2015/33
E/RES/2022/17,E/RES/2015/33
E/RES/2022/17,E/RES/2015/33
E/RES/2022/17,E/RES/2015/33
E/RES/2022/17,E/RES/2015/33
E/RES/2022/17,E/RES/2015/33
E/RES/2022/17,E/2018/42
E/RES/2022/17,E/RES/2015/33
E/RES/2022/18,A/52/3/Rev.1
E/RES/2022/18,E/RES/2012/24
E/RES/2022/18,E/RES/2013/16
E/RES/2022/18,E/RES/2014/2
E/RES/2022/18,E/RES/2015/12
E/RES/2022/18,E/RES/2016/2
E/RES/2022/18,E/RES/2017/9
E/RES/2022/18,E/RES/2018/7
E/RES/2022/18,E/RES/2019/2
E/RES/2022/18,E/RES/2020/9
E/RES/2022/18,E/RES/2021/7
E/RES/2022/18,A/RES/55/2
E/RES/2022/18,A/RES/60/1
E/RES/2022/18,A/RES/65/1
E/RES/2022/18,A/RES/66/288
E/RES/2022/18,A/RES/70/1
E/RES/2022/18,A/RES/69/283
E/RES/2022/18,A/RES/69/313
E/RES/2022/18,FCCC/CP/2015/10/Add.1
E/RES/2022/18,A/RES/S-30/1
E/RES/2022/18,A/RES/71/256
E/RES/2022/18,A/RES/S-23/2
E/RES/2022/18,A/RES/S-23/3
E/RES/2022/18,S/RES/1325
E/RES/2022/18,E/2020/27
E/RES/2022/18,A/RES/75/233
E/RES/2022/18,A/RES/64/289
E/RES/2022/18,E/2022/62
E/RES/2022/18,A/RES/70/1
E/RES/2022/18,A/RES/64/289
E/RES/2022/18,A/RES/64/289
E/RES/2022/18,A/RES/75/233
E/RES/2022/18,A/RES/75/233
E/RES/2022/19,A/RES/76/258
E/RES/2022/19,A/CONF.219/7
E/RES/2022/19,A/RES/70/1
E/RES/2022/19,A/RES/69/313
E/RES/2022/19,FCCC/CP/2015/10/Add.1
E/RES/2022/19,A/RES/69/283
E/RES/2022/19,A/RES/71/256
E/RES/2022/19,A/RES/76/251
E/RES/2022/19,A/RES/76/258
E/RES/2022/19,E/RES/2021/19
E/RES/2022/19,A/RES/59/209
E/RES/2022/19,A/RES/67/221
E/RES/2022/19,A/RES/74/270
E/RES/2022/19,A/RES/74/274
E/RES/2022/19,A/RES/76/175
E/RES/2022/19,A/76/394
E/RES/2022/19,A/77/73
E/RES/2022/19,A/RES/76/258
E/RES/2022/19,A/74/843
E/RES/2022/19,A/RES/73/242
E/RES/2022/19,A/RES/74/232
E/RES/2022/19,A/RES/74/232b
E/RES/2022/19,A/RES/75/227
E/RES/2022/19,A/RES/76/216
E/RES/2022/20,E/RES/2012/21
E/RES/2022/20,E/RES/2013/15
E/RES/2022/20,E/RES/2014/37
E/RES/2022/20,E/RES/2015/18
E/RES/2022/20,E/RES/2016/28
E/RES/2022/20,E/RES/2017/26
E/RES/2022/20,E/RES/2018/19
E/RES/2022/20,E/RES/2019/32
E/RES/2022/20,E/RES/2020/11
E/RES/2022/20,E/RES/2021/18
E/RES/2022/21,A/77/66
E/RES/2022/21,E/2022/51
E/RES/2022/21,E/2022/SR.34
E/RES/2022/21,A/RES/1514
E/RES/2022/21,A/RES/1541
E/RES/2022/21,E/RES/2021/2b
E/RES/2022/21,A/RES/1514
E/RES/2022/21,A/RES/1514
E/RES/2022/21,A/RES/76/105
E/RES/2022/21,A/RES/1514
E/RES/2022/21,A/RES/1514
E/RES/2022/21,A/RES/1514
E/RES/2022/21,E/1998/41
E/RES/2022/22,A/RES/76/82
E/RES/2022/22,A/RES/76/225
E/RES/2022/22,E/RES/2021/4
E/RES/2022/22,S/RES/242
E/RES/2022/22,S/RES/252
E/RES/2022/22,S/RES/338
E/RES/2022/22,S/RES/465
E/RES/2022/22,S/RES/497
E/RES/2022/22,S/RES/2334
E/RES/2022/22,A/RES/ES-10/13
E/RES/2022/22,A/RES/ES-10/14
E/RES/2022/22,A/RES/ES-10/15
E/RES/2022/22,A/RES/ES-10/17
E/RES/2022/22,A/77/90
E/RES/2022/22,A/RES/2200
E/RES/2022/22,A/RES/181
E/RES/2022/22,A/RES/67/19
E/RES/2022/22,S/RES/242
E/RES/2022/22,S/RES/338
E/RES/2022/22,S/RES/425
E/RES/2022/22,S/RES/1397
E/RES/2022/22,S/RES/1515
E/RES/2022/22,S/RES/1544
E/RES/2022/22,S/RES/1850
E/RES/2022/22,S/RES/2334
E/RES/2022/22,A/56/1026
E/RES/2022/22,S/2003/529
E/RES/2022/22,A/HRC/22/63
E/RES/2022/22,A/ES-10/273
E/RES/2022/22,A/ES-10/273/Corr.1
E/RES/2022/22,A/RES/ES-10/15
E/RES/2022/22,S/RES/1860
E/RES/2022/22,S/RES/1860
E/RES/2022/22,A/49/180
E/RES/2022/22,S/RES/2334
E/RES/2022/22,S/RES/904
E/RES/2022/22,A/RES/ES-10/15
E/RES/2022/22,S/RES/242
